No,ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,image,gender
11,HRMN-0011,Sparkling Rose,mykonos,299000,100,XDP,"Damask Rose, Orange, Geranium","May Rose, Sparkling Red Berries, Plum, Sandalwood","Patchouli, Amber, Guaiac Wood, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/1/3/1d552086-1762-42a1-9ade-298e09bac5c9.png,Female
12,HRMN-0012,Pistachio Cream Cake,mykonos,139000,50,EDP,"Whipped Cream Accord, Pistachio, Crumble Accord","Praline, Ice Cream","Orcanox, Musk, Tonka Bean",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/1/11/9a961fb4-21a3-48a0-9d3b-9d434f295608.jpg,Unisex
13,HRMN-0013,Paradise,mykonos,149000,50,EDP,"Coconut, Mandarin Orange, Pear, Pineapple","Frangipani, Jasmine, Lily","Amber, Vanilla, Woody",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/9/6963cdda-dd70-4315-8479-84c1e233e3bf.jpg,Unisex
14,HRMN-0014,Musk Aura,mykonos,279000,100,EDP,"Bergamot, Yuzu, Apple","Lily Of The Valley, Sambac Jasmine, Ylang-Ylang","Amber, Musk, Citrus, Nectarine",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/31/bea0a493-1cea-47f5-81cd-ca7e24807abe.jpg,Unisex
15,HRMN-0015,Rouge,mykonos,169000,50,EDP,"Green Pear, Lemon Blossom","Lily Of The Valley, Ambrette, Violet, Orris","Orcanox , Musks",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/31/32d4f5ff-c7be-4e1c-8638-a83f357f82af.jpg,Female
16,HRMN-0016,Sansa,mykonos,279000,100,EDP,"Moss, Peach, Black Tea, Osmanthus.","Rose, Tuberose, Narcissus, Toffee.","Cedarwood, Orris Root, Vetiver, Dark Chocolate.",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/31/805061f8-d580-4b6e-b600-44319bc70602.jpg,Unisex
17,HRMN-0017,Aphrodite,mykonos,169000,50,EDP,"Jasmine, Burnt Cinnamon, Myrrh","Cedarwood, Tonka Bean, Sandalwood","White Musk, Tobac, Vanilla, Mineral Amber",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/6/5/08fbef35-cdb3-499b-bb32-f80aae51e184.png,Unisex
18,HRMN-0018,Caramel Fudge,mykonos,149000,50,EDP,"Cookie Dough, Caramel, Vanilla","Caramel, Condensed Milk, Sea Salt","White Musk, Vanilla, Caramel, Praline",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/5/13/6f11d5ed-c364-4e8a-afa4-45ae0088c752.jpg,Unisex
19,HRMN-0019,XoXo Rosy,mykonos,149000,50,EDP,"Turkish Rose, Pink Pepper, Green Notes","Turkish Rose, Rose Petals, Orange Jam , Red Berries","Amber, Musk, Rose",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/7/d4cc47bb-fdcc-491c-a220-4669c9805d38.png,Female
20,HRMN-0020,Matcha Latte,mykonos,169000,50,XDP,"Matcha Tea, White Chocolate","Jasmine, Tonka Bean","Vanilla, Milk",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/7/1f9e6329-7367-409a-811f-a13c56e0bbcf.png,Unisex
21,HRMN-0021,Enchanted,mykonos,169000,50,XDP,Mandarin Orange,"Peony, Rose, Violet, Peach"," Iris, Musk",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/5/13/7c5b17f7-ea28-4b17-9198-e88db400c940.jpg,Female
22,HRMN-0022,Bonfire Vanilla,mykonos,169000,50,XDP,"Cloves, Nutmeg, Pink Pepper, Orange Zest & Vanilla","Smoked Wood, Pepper, Guaic Wood, Burnt Brown Sugar","Smoked Wood, Vanilla, Marshmallow, Caramel",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/4/5/8bd73f9d-c570-4cad-a49f-0a02d0daf0d3.jpg,Unisex
23,HRMN-0023,Verve,mykonos,149000,50,XDP,"Vanilla, Pear, Blackcurrant","Jasmine, Iris, Orange Blossom","Praline, Vanilla, Tonka Bean",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/5/13/e6f8588d-c9b3-4e34-82b3-3888a740e8fb.jpg,Unisex
24,HRMN-0024,Stilettos,mykonos,149000,50,EDP,"Blackberry, Sour Cherry, Mandarin Orange","Violet, Jasmine","Cashmere Wood, Amber, Patchouli, Musk, Vanilla",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/31/6d483561-e4a6-45a0-85d9-5150b6b9415c.jpg,Female
25,HRMN-0025,Berry Caramel Pancake,mykonos,149000,50,EDP,"Mixed Berry Coulis, Brown Sugar, Lemon","Smoked Brown Sugar Caramel, Butter Pancake","Caramel, Black Berry, Cashmere Wood, Tonka Bean",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2023/10/31/2637ef2c-c492-40fb-b9a3-9ef32e2fd104.jpg,Unisex
26,HRMN-0026,Moroccan Vanilla,mykonos,299000,100,EDP,"Moroccan Vanilla, Bulgarian Rose, Rose, Lemon","Bulgarian Rose, Vanilla, Lemon, Sugar","White Musk, Sugar, Vanilla",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/5/13/d2e79d0a-5e46-4a1a-aee1-e539c9102cb6.jpg,Unisex
27,HRMN-0027,Black Opera,mykonos,269000,100,EDP,"Vanilla, Orange Blossom, Pink Pepper","Licorice, Jasmine, Almond, Coffee","Cashmere Wood, Jasmine, Vanilla, Patchouli",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/13/a3ee6cdc-e7e4-4b2f-963e-f1f8bb329c6d.jpg.webp?ect=4g,Unisex
28,HRMN-0028,When In Paris,mykonos,149000,50,EDP,"Mandarin Orange, Lychee & Marigold","Wild Orchid, Vanilla Orchid, Magnolia","Apricot, Cashmere Musk, Guaic Wood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/13/f93db065-4fc5-42b7-8d3f-5f34519dc4fd.jpg.webp?ect=4g,Unisex
29,HRMN-0029,Vanilla Clouds,mykonos,149000,50,EDP,"Vanilla, Heliotrope, White Floral Accord","Vanilla, Marshmallow, Iris","Caramel, White Musk, Vanilla",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/13/46b35d96-d156-4d18-8e35-19ddc79fb83d.jpg.webp?ect=4g,Unisex
30,HRMN-0030,Coconut Dreams,mykonos,149000,50,EDP,"Coconut, Aloe Vera, Lily Of The Valley","Coconut Cream, Vanilla, Sweet Rice","Vanilla, Cashmere Wood​",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/13/14fb2710-b6f3-4e0e-ad7d-d1cc993168fe.jpg.webp?ect=4g,Unisex
31,HRMN-0031,Blossom,mykonos,139000,50,EDP,"Green Notes, Orange, Jasmine","Tuberose, Honeysuckle, Jasmine","Vanilla, Sandalwood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/13/14ddb72a-43c6-4d87-bec0-4a51e718ce91.jpg.webp?ect=4g,Female
32,HRMN-0032,Ivory,mykonos,139000,50,EDP,"Strawberry, Pink, Grapefruit, Raspberry, Cassia","Lily Of The Valley, Violet, Red Peony, Lily","Vanilla, Cashmere Wood, Musk",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/11/eb02ab64-291a-4bd4-9651-2ff4aa5b65a5.png.webp?ect=4g,Female
33,HRMN-0033,Chai Crema Latte,mykonos,299000,50,XDP,"Cinnamon, Gingerbread, Coffee, Cardamom","Tea Leaves, Caramel, Milk, Hazelnut","Vanilla, Tonka Bean, Musk, Milk",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/3/12/43ee0e41-1117-44b6-bbf9-8ee50657aea4.jpg.webp?ect=4g,Unisex
34,HRMN-0034,Luminos,mykonos,229000,50,XDP,"Apple, Banana (Part Of The Blue Java Banana Accord)","White Florals, Rose, Tuberose, Lily Of The Valley, Orange Blossom, Vanilla (Part Of The Blue Java Banana Accord)","Amber, Edible Notes, Solar Accord, Amberwood, Cashmere, Ice Cream (Part Of The Blue Java Banana)",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/2/de52605e-9e25-4a55-bf6e-1ce375654d72.jpg.webp?ect=4g,Unisex
35,HRMN-0035,Hawaiian Crush,mykonos,399000,100,EDP,"Lychee, Red Fruits, Black Tea","Rose, Lily Of The Valley, Lychee, Black Tea","Amber, Patchouli, Musk, Incense",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/3/1/96fd8e05-b039-4841-853c-4cf4878c126f.jpg.webp?ect=4g,Unisex
36,HRMN-0036,Adelina,mykonos,149000,50,EDP,"Green Notes, Orange, Jasmine","Honeysuckle, Tuberose, Jasmine","White Musk, Sandalwood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/9/58ad15ea-36f6-481d-906a-b5a679b6552b.jpg.webp?ect=4g,Female
37,HRMN-0037,Satin Blanc,mykonos,399000,100,XDP,"Bergamot, Black Pepper, Green Apple","Cedar Wood, Jasmine Tea, Floral Bouquet, Aquatic","White Amber, Tonka Bean, Vanilla",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/1/3/dd666681-e301-4bdd-845e-5b860bec161b.png.webp?ect=4g,Unisex
38,HRMN-0038,Dark Secret,mykonos,299000,100,XDP,"Black Cherry, Saffron, Bergamo","Cinnamon, Nutmeg, Marigold, Jasmine, Praline"," Amber, Musk, Tonka Bean, Sandalwood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/17/6369939a-7e44-481b-81ff-fd66b970e4e9.png.webp?ect=4g,Unisex
39,HRMN-0039,It's Not Ella,mykonos,179000,50,EDP,"Hazelnut, Praline","Creamy, Praline","Vanilla Caramel, Amber, Cedar",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/25/2c87c8a8-0487-4d25-b5c8-9bc6a66cb5d1.jpg.webp?ect=4g,Female
40,HRMN-0040,Slow Living,mykonos,149000,50,EDP,"Italian Lemon, Bergamot, Orange Blossom","Lavender, Hawthorn","Musk, Ambroxan​",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/3/2/ec404f67-fc9a-44bd-83a6-cbf02cf825fc.jpg.webp?ect=4g,Unisex
41,HRMN-0041,Dolce Cherry,mykonos,179000,50,XDP,"Maraschino Cherry, Vanilla, Pink Pepper, Bergamot, Cloves","Vanilla, Cinnamon Leaves, Dried Apricot, Plum, Black Cherry","Tonka Bean, Vetiver, Cedar, Amberwood, Sandalwood",Night,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/10/31/cb3ed29b-7b12-4569-aa32-2a42ee4300a0.jpg.webp?ect=4g,Unisex
42,HRMN-0042,Alpha,HMNS,320000,100,EDP,"Citrus, Grass",Cedarwood,Green Tea Essence,Day,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE.png?v=1724049580,Male
43,HRMN-0043,ORGSM,HMNS,323000,100,EDP,Red Apple,"Rose, Jasmine, Peony","Vanilla Beans, Amber",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE2.png?v=1724058871,Female
44,HRMN-0044,Darker Shade of ORGSM,HMNS,380000,100,EDP,"Orange Blossom, Apple, Pepper","Cypriol, Caramel, Patchouli ","Vanilla Beans, Cedarwood, Amber, Vetiver",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE3.png?v=1724060641,Female
45,HRMN-0045,Farhampton,HMNS,369000,100,XDP,"Bergamot, Ripe Fruit","Lavender, Orange Blossom Flower","Labdanum, Cedar Wood, Tonka Bean",Versatile,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE4.png?v=1724061282,Male
46,HRMN-0046,Essence Of The Sun (EOS),HMNS,369000,100,EDP,"Bergamot, Coriander Seeds, Pink Pepper","Tropical Flower, Jasmine, Rose, Solar Accord	","Vanilla, Tonka Bean, Ambrette, Cedar Wood",Day,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE5.png?v=1724061560,Female
47,HRMN-0047,Essence of The Night,HMNS,398000,100,EDP,"Bergamot, Tuberose","Ylang Ylang, Violet Leaves, Jasmine Absolute","Amberwood, Musk",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE6.png?v=1724061915,Female
48,HRMN-0048,Unrosed,HMNS,374000,100,EDP,Floral,Earthy,Notes Musky,Versatile,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE7.png?v=1724069227,Female
49,HRMN-0049,The Perfection,HMNS,398000,100,EDP,"Bergamot, Elemi, Clove, Nutmed","Lavender, Tagetes, Lily Of The Valley, Green Pear","Driftwood, Sandalwood, Leather, White Musk",Versatile,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE8.png?v=1724069477,Male
50,HRMN-0050,The Prestige,HMNS,415000,100,EDP,"Grapefruit, Tobacco Leaves, Pink Pepper Jungle Essence","Patchouli, Geranium, Orris","Tolu, Vetiver, Labdanum",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE9.png?v=1724069559,Male
51,HRMN-0051,Untitled Humans,HMNS,395000,100,EDP,"Coriander, Violet Leaves, Ambrette","Figolide, Velvet Note, Rose Absolute","Sandalwood, Cypriol, Vanilla Jungle Essence",Versatile,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE10.png?v=1724069724,Unisex
52,HRMN-0052,Unpatched,HMNS,398000,100,EDP,"Jasmine Sambac, Vanilla Madagascar, Cokelat","Karamel, Akigalawood, Mawar","Tonka Bean Brazil, Amber, Musk",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE11.png?v=1724069768,Unisex
53,HRMN-0053,Ambar Janma,HMNS,500000,100,EDP,"Bergamot, Elemi, Clove, Nutmed","Lavender, Tagetes, Lily Of The Valley, Green Pear","Driftwood, Sandalwood, Leather, White Musk",Versatile,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE12.png?v=1724069869,Unisex
54,HRMN-0054,Addict,HMNS,249000,50,EDP,Berries,"Red Rose, Coffee","Patchouli, Amber, Tonka Beans",Night,https://madeforhmns.com/cdn/shop/files/CATALOG_RESIZE13.png?v=1724070004,Male
55,HRMN-0055,FWB,ONIX,203150,50,EDP,"Bergamot, Lemon, Orange, Apple, Green Tea","Freesia, White Floral, Amber, Peach, Coconut","Amber, Vetiver, Musk, Vanilla, Cedarwood, Caramel",Versatile,https://onixfragrance.co.id/cdn/shop/files/Artboard_12.jpg?v=1743341124,Male
56,HRMN-0056,GALA,ONIX,278800,50,XDP,"Cassis, Peach, & Opoponax","Jasmine, Magnolia, Rose, Oudh, & Myyrh","Patchoulli, Amber, Cedarwood, Guaiac Wood, Musk & Vanilla",Versatile,https://onixfragrance.co.id/cdn/shop/files/IMG_2969.jpg?v=1743340559&width=1100,Unisex
57,HRMN-0057,OSCAR,ONIX,278800,50,XDP,Floral,Amber & Lactone,Musk & Moss Amber,Versatile,https://onixfragrance.co.id/cdn/shop/files/oscar_50ML_white_wine_compress.png?v=1743340569&width=1100,Unisex
58,HRMN-0058,SENOPARTY,ONIX,203150,50,EDP,"Saffron, Fir, Bergamot, Nagarmotha","Oud, White Floral, Tageta","Amber, Musk, Caramel Cedar, Moss",Night,https://onixfragrance.co.id/cdn/shop/files/Artboard_9.jpg?v=1743341069,Unisex
59,HRMN-0059,SCORPIO,ONIX,122320,30,EDP,"Pink Pepper, Orange Blossom","Jasmine, Coffee","Vanilla, Patchouli, Cedarwood",Night,https://onixfragrance.co.id/cdn/shop/files/Artboard_2_6ed88ee6-7f59-40d0-bf9d-e0ade28ac362.jpg?v=1743341512,Unisex
60,HRMN-0060,Call Me Bento,ONIX,122320,30,EDP,"Marigold, Bergamot, Lemon, Prune, Tagete","Jasmine Sambac, Ylang, Rose, Coconut, Clove, Orange Flower","Amber Benzoin, Musk, Vanilla, Cabrueva, Cedar",Night,https://onixfragrance.co.id/cdn/shop/files/Artboard_4_45938b7b-27ee-49a8-87c4-b370f254b175.jpg?v=1743341241,Unisex
61,HRMN-0061,CHILLIN' BABY ,ONIX,122320,30,EDP,"Peach, Apple, Melony","Floral Bouquet Of Mimosa, Tuberose, Freesia, Jasmine And Ylang Ylang","Sandalwood, Musk, Oakmoss",Day,https://onixfragrance.co.id/cdn/shop/files/Artboard_9.jpg?v=1743341069,Unisex
62,HRMN-0062,FRESHBOOK PASSION,ONIX,122320,30,EDP,"Fruity Cocktail Of Blackcurrant, Red Apple, Raspberry And Mango","Consist Of Floral Bouquet Of Jasmine, Violet, Plum And Blach Fig","Musk, Sandalwood, Cedarwood, Amber And Vanilla",Day,https://onixfragrance.co.id/cdn/shop/files/Artboard_3_afd6f243-152a-4252-a42f-fa7af25f8162.jpg?v=1743341307,Unisex
63,HRMN-0063,GRATITUDE,ONIX,203150,50,EDP,"Green, Fruity, Ozone","White Floral, Caramel, Lactone, Violet","Amber, Musk, Vanilla, Sandalwood, Cedarwood",Versatile,https://onixfragrance.co.id/cdn/shop/files/Artboard_11.jpg?v=1743341368,Unisex
64,HRMN-0064,MEXICOLA,ONIX,203150,50,EDP,"Raspberry, Apple, Pineapple","Jasmine, Muguet, Cyclamen, Freesia","Sandalwood, Coconut, Musk, Tonka, Vanilla, Caramel",Day,https://onixfragrance.co.id/cdn/shop/files/Artboard_10.jpg?v=1743341408,Unisex
65,HRMN-0065,CONCERT,ONIX,278800,50,XDP,"Bergamot, Pink Pepper, & & Mandarin",Frankincense & Jasmine,"Sandalwood, Musk, Patchoulli, & Vanilla",Night,https://onixfragrance.co.id/cdn/shop/files/CONCERT_50ML.1.jpg?v=1743340534&width=1100,Unisex
66,HRMN-0066,Rose d'amour,LAYR,309000,50,XDP,"Lychee, Bergamot, Incense, Pear, Heirloom Tomato","Bulgarian Rose, Grapefruit, Peony, Lily Of The Valley","Vanilla Bali, Vetiver, Musk, Cashmere Wood",Day,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/3/23/1318025c-e1d6-4d57-9149-b60abb83e2b9.jpg.webp?ect=4g,Female
67,HRMN-0067,BEFORE PETRICHOR,LAYR,329000,50,XDP,"Basil, Spearmint, Neroli, Lemon, Petitgrain, Mandarin, Watermelon","Cyclamen, White Floral, Orange Flower, Rose, Cedarleaf, Olibanum","Vetiver, Musk, Olibanum, Moss",Versatile,https://layrfragrance.com/cdn/shop/files/LAYR-BannerBeforePetrichor02_700x.jpg?v=1711011202,Unisex
68,HRMN-0068,CHRONIC TONIC,LAYR,249000,50,XDP,"Chronic Cinnamon, Grapefruit, Raspberry, Cypress, Thyme, Rosemary.","Lactone, Iris, Muguet, Rose, Saffron, Violet, Floral, Mandarin Orange.","Musk, Moss, Vanilla Amber, Patchouli, Vetwer, Leather, Sandalwood, Leather, Olibanum.",Night,https://layrfragrance.com/cdn/shop/files/LAYR-BannerChronicTonic_1799x1799.jpg?v=1690690637,Male
69,HRMN-0069,Empty Room,LAYR,329000,50,XDP,"Paper, Cotton, Lemon, Pink Peppercorn, Fig Leaves","Rose, Orange Flower, Dried Flower Base Dust, Musk, Incense, Sandalwood",-,Versatile,https://layrfragrance.com/cdn/shop/files/LAYR-SKUER1_400x.jpg?v=1731229148,Unisex
70,HRMN-0070,FORBIDDEN GARDEN,LAYR,199000,50,XDP,"Green Apple, Rose, Blackberry, Geranium, Violet","Jasmine Sambac, Ylang Ylang, Orris, Raspberry, Red Apple","Musk, Patchouli, Sandalwood, Vanilla, Vetiver",Night,https://layrfragrance.com/cdn/shop/files/WhatsAppImage2023-10-09at15.23.36_400x.jpg?v=1696840289,Female
71,HRMN-0071,GET NAKED,LAYR,199000,50,XDP,"Tobacco, Green Pear, Violet, Orange, Petitgrain, Galbanum, Pine.","Magnolia, Sandalwood, Rose, Pineapple, Lavender, Geranium, Freesia.","Amber, Cedar, Musk, Patchouli, Leather, Moss, Tonka.",Versatile,https://layrfragrance.com/cdn/shop/files/Layr-BannerGetNaked03_400x.jpg?v=1690688537,Unisex
72,HRMN-0072,KYOTO JAZZ,LAYR,289000,50,XDP,"Matcha, Green, Yuzu, Pear, Bergamot, Cocoa, Cardamom, Lavandin, Ozone.","Ylang Ylang, Violet, Beeswax, Orange Blossom, Lily Of The Valley, Cassis, Pineapple.","Musk, Sandalwood, Amber, Iris, Cashmere, Vanilla, Patchouli, Moss, Labdanum.",Day,https://layrfragrance.com/cdn/shop/files/LAYR-BannerKyotoJazz_400x.jpg?v=1690690906,Unisex
73,HRMN-0073,High Tide Low Tide,LAYR,329000,50,XDP,"Lemon, Orange Flower, Tangerine, Bergamot, Rosemary","Driftwood, Coastal Trees, Earthy Sand","Musk, Cedarwood, Wild Patchouli",Versatile,https://layrfragrance.com/cdn/shop/files/LAYR-SKUHTLT01_400x.jpg?v=1724300780,Unisex
74,HRMN-0074,MIDNIGHT HAZE,LAYR,209000,50,XDP,"Pink Pepper, Cardamon, Lavender, Tuberose, Tulip, Grass.","Oud, Jasmine, Cedarwood, Lily Of The Valley, Ylang Ylang, Orange Flower.","Amber, Vanilla, Musk, Sandalwood, Tonka Bean, Vetiver.",Night,https://layrfragrance.com/cdn/shop/files/Layr-BannerMidnightHaze01_400x.jpg?v=1690688468,Female
75,HRMN-0075,SECOND SKIN,LAYR,199000,50,XDP,"Blackpepper, Bergamot, Clary Sage, Mandarin, Green, Tagete","Rose, Orange Flower, Violet, Lily Of The Valley, Jasmine, Fruity","Patchouli, Amber, Musk, Cedar, Lactone, Labdanum, Vanilla",Day,https://layrfragrance.com/cdn/shop/files/Layr-BannerSecondSkin01_400x.jpg?v=1690688384,Unisex
76,HRMN-0076,SLOW DANCE,LAYR,219000,50,XDP,"Plum, Black Pepper, Bergamot, Cassis, Green Apple, Green Tea, Thyme","Rose Turkish, Magnolia, Jasmine Sambac, Iris, Freesia, Clove, Fruity, Clary Sage, Nutmeg","Amber, Vanilla, Vetiver, Patchouli, Caramel, Musk",Night,https://layrfragrance.com/cdn/shop/files/LAYR-BannerSlowDance-01_1_400x.jpg?v=1686043787,Female
77,HRMN-0077,VELVET DREAM,LAYR,199000,50,XDP,"Black Cherry, Cypress, Elem, Citrus, Labdanum, Orange, Almond.","Patchouli, Olibanum, Guaiacwood, Strawberry, Blackcurrant, Whiskey Bourbon.","Cedar, Vetwer, Musk, Sandalwood, Amber, Vanilla, Raspberry, Peach, Heliotrope.",Versatile,https://layrfragrance.com/cdn/shop/files/LAYR-BannerVelvetDream_400x.jpg?v=1690691269,Unisex
78,HRMN-0078,VILA ENIGMA,LAYR,199000,50,XDP,"Mint, Sunscreen, Coconut Milk, Honeysuckle, Pear Blossom, Figolide","Tuberose, Jasmine Sambac, Gardenia, Ambrette","Bourbon Vanilla, Sandalwood, Musk, Patchouli, Ambergris",Day,https://layrfragrance.com/cdn/shop/files/LAYR-VillaEnigmaSKU01_400x.jpg?v=1703330808,Male
79,HRMN-0079,Heiress of Minahasa,Project 1945,345000,100,EDP,"Bergamot, Mandarin, Pepper, Rhubarb","Rose, Incense, Patchouli, Cashmere Wood","Vetiver, Sandalwood, Benzoin, Musky",Night,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/10/15/96c4299f-a68a-4df5-ba85-4722b1ea4ec4.jpg,Unisex
80,HRMN-0080,Symphony of Borobudur,Project 1945,345000,100,EDP,"Fig, Mandarin, Tuberose","Violet, Incense, Sandalwood, Milk","Vanilla, Tonka, Benzoin, Musky",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2024/11/29/d59ba9d4-4d4f-4e5d-980f-78b94d7c48dd.jpg,Unisex
81,HRMN-0081,Bamboe Roencing,Project 1945,325000,100,EDP,"Bergamot, Marine, Green Leaves","Freesia, Waterlily, Osmanthus, White Jasmine, Rose","Musk, Precious Woods, Dry Fruits",Day,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/28/782c610f-97d8-45c8-9e00-c290e4fa28e8.jpg,Unisex
82,HRMN-0082,The Great Batavia,Project 1945,325000,100,EDP,"Apple, Lemon, Watermelon, Spearmint","Lavender, Clove Indonesia, Geranium, Elemi","Patchouli Indonesia, Vanilla, Tonka Bean, Moss",Versatile,https://images.tokopedia.net/img/cache/900/VqbcmM/2025/2/28/1c64fb93-5a3a-436c-bc31-7b1a7cac1d14.jpg,Unisex
